INDEX,INDEX_1,INDEX_1_1,DATE,OBJECT,RA,DEC,X_IMAGE,Y_IMAGE,SOURCES,TEMPLATE_PATH,SCIENCE_PATH,DIFFERENCE_PATH,PDF_PATH
387,702,390,2024-10-09,UGC03042,67.1652915,70.3471667,6920.0,2014.0,6,/data/transient/AUTOGLASS/Survey_xl106/template/NGC1560_L_temimg.fits,/data/transient/AUTOGLASS/Survey_xl106/reddir/2024-10-09/RPJ_IMAGE/2024-10-09_NGC1560_L_com_3_rpj.fits,/data/transient/AUTOGLASS/Survey_xl106/reddir/2024-10-09/DIF_IMAGE/2024-10-09_NGC1560_L_com_3_rpj_diff.fits,/data/transient/AUTOGLASS/Survey_xl106/reddir/2024-10-09/PDF/2024-10-09_NGC1560_L_com_3_rpj_diff.pdf
388,701,391,2024-10-09,UGC03042,67.1652915,70.3471667,6920.0,2014.0,5,/data/transient/AUTOGLASS/Survey_xl106/template/NGC1560_L_temimg.fits,/data/transient/AUTOGLASS/Survey_xl106/reddir/2024-10-09/RPJ_IMAGE/2024-10-09_NGC1560_L_com_3_rpj.fits,/data/transient/AUTOGLASS/Survey_xl106/reddir/2024-10-09/DIF_IMAGE/2024-10-09_NGC1560_L_com_3_rpj_diff.fits,/data/transient/AUTOGLASS/Survey_xl106/reddir/2024-10-09/PDF/2024-10-09_NGC1560_L_com_3_rpj_diff.pdf
389,700,392,2024-10-09,UGC02955,62.122044,69.6726016,3972.0,5456.0,96,/data/transient/AUTOGLASS/Survey_xl130/template/UGC02955_L_temimg.fits,/data/transient/AUTOGLASS/Survey_xl130/reddir/2024-10-09/RPJ_IMAGE/2024-10-09_UGC02955_L_com_3_rpj.fits,/data/transient/AUTOGLASS/Survey_xl130/reddir/2024-10-09/DIF_IMAGE/2024-10-09_UGC02955_L_com_3_rpj_diff.fits,/data/transient/AUTOGLASS/Survey_xl130/reddir/2024-10-09/PDF/2024-10-09_UGC02955_L_com_3_rpj_diff.pdf
390,699,393,2024-10-09,UGC02955,62.122044,69.6726016,3654.0,4888.0,96,/data/transient/AUTOGLASS/Survey_xl130/template/IC0356_L_temimg.fits,/data/transient/AUTOGLASS/Survey_xl130/reddir/2024-10-09/RPJ_IMAGE/2024-10-09_IC0356_L_com_3_rpj.fits,/data/transient/AUTOGLASS/Survey_xl130/reddir/2024-10-09/DIF_IMAGE/2024-10-09_IC0356_L_com_3_rpj_diff.fits,/data/transient/AUTOGLASS/Survey_xl130/reddir/2024-10-09/PDF/2024-10-09_IC0356_L_com_3_rpj_diff.pdf
391,698,394,2024-10-09,UGC02905,59.2511205,16.5230541,6032.0,5744.0,12,/data/transient/AUTOGLASS/Survey_xl106/template/UGC02905_L_temimg.fits,/data/transient/AUTOGLASS/Survey_xl106/reddir/2024-10-09/RPJ_IMAGE/2024-10-09_UGC02905_L_com_3_rpj.fits,/data/transient/AUTOGLASS/Survey_xl106/reddir/2024-10-09/DIF_IMAGE/2024-10-09_UGC02905_L_com_3_rpj_diff.fits,/data/transient/AUTOGLASS/Survey_xl106/reddir/2024-10-09/PDF/2024-10-09_UGC02905_L_com_3_rpj_diff.pdf
392,697,395,2024-10-09,UGC02827,56.0016,69.3234988,6660.0,8800.0,53,/data/transient/AUTOGLASS/Survey_xl106/template/IC0342_L_temimg.fits,/data/transient/AUTOGLASS/Survey_xl106/reddir/2024-10-09/RPJ_IMAGE/2024-10-09_IC0342_L_com_3_rpj.fits,/data/transient/AUTOGLASS/Survey_xl106/reddir/2024-10-09/DIF_IMAGE/2024-10-09_IC0342_L_com_3_rpj_diff.fits,/data/transient/AUTOGLASS/Survey_xl106/reddir/2024-10-09/PDF/2024-10-09_IC0342_L_com_3_rpj_diff.pdf
393,696,396,2024-10-09,UGC02827,56.0016,69.3234988,6660.0,8800.0,3,/data/transient/AUTOGLASS/Survey_xl106/template/IC0342_L_temimg.fits,/data/transient/AUTOGLASS/Survey_xl106/reddir/2024-10-09/RPJ_IMAGE/2024-10-09_IC0342_L_com_3_rpj.fits,/data/transient/AUTOGLASS/Survey_xl106/reddir/2024-10-09/DIF_IMAGE/2024-10-09_IC0342_L_com_3_rpj_diff.fits,/data/transient/AUTOGLASS/Survey_xl106/reddir/2024-10-09/PDF/2024-10-09_IC0342_L_com_3_rpj_diff.pdf
394,695,397,2024-10-09,UGC02826,55.939791,68.3013056,6748.0,6280.0,62,/data/transient/AUTOGLASS/Survey_xl106/template/IC0342_L_temimg.fits,/data/transient/AUTOGLASS/Survey_xl106/reddir/2024-10-09/RPJ_IMAGE/2024-10-09_IC0342_L_com_3_rpj.fits,/data/transient/AUTOGLASS/Survey_xl106/reddir/2024-10-09/DIF_IMAGE/2024-10-09_IC0342_L_com_3_rpj_diff.fits,/data/transient/AUTOGLASS/Survey_xl106/reddir/2024-10-09/PDF/2024-10-09_IC0342_L_com_3_rpj_diff.pdf
395,694,431,2024-10-09,UGC02826,55.939791,68.3013056,6748.0,6280.0,3,/data/transient/AUTOGLASS/Survey_xl106/template/IC0342_L_temimg.fits,/data/transient/AUTOGLASS/Survey_xl106/reddir/2024-10-09/RPJ_IMAGE/2024-10-09_IC0342_L_com_3_rpj.fits,/data/transient/AUTOGLASS/Survey_xl106/reddir/2024-10-09/DIF_IMAGE/2024-10-09_IC0342_L_com_3_rpj_diff.fits,/data/transient/AUTOGLASS/Survey_xl106/reddir/2024-10-09/PDF/2024-10-09_IC0342_L_com_3_rpj_diff.pdf
396,693,433,2024-10-09,UGC02789,54.0565005,67.5646389,8544.0,4516.0,91,/data/transient/AUTOGLASS/Survey_xl106/template/IC0342_L_temimg.fits,/data/transient/AUTOGLASS/Survey_xl106/reddir/2024-10-09/RPJ_IMAGE/2024-10-09_IC0342_L_com_3_rpj.fits,/data/transient/AUTOGLASS/Survey_xl106/reddir/2024-10-09/DIF_IMAGE/2024-10-09_IC0342_L_com_3_rpj_diff.fits,/data/transient/AUTOGLASS/Survey_xl106/reddir/2024-10-09/PDF/2024-10-09_IC0342_L_com_3_rpj_diff.pdf
